finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,gender,state
1700,Healthcare,Lei Jufang,70,China,Lanzhou,Pharmaceuticals,Healthcare,China,,True,F,
1700,Healthcare,James Leininger,78,United States,San Antonio,Medical products,Healthcare,United States,,True,M,Texas
1700,Food & Beverage,Xuhui Li,54,China,Foshan,Soy sauce,Food & Beverage,China,,True,F,
1700,Food & Beverage,Jimmy John Liautaud,59,United States,Key Largo,Sandwich chain,Food & Beverage,United States,,True,M,Florida
1700,Metals & Mining,Lin Lairong & family,54,China,Bayannur,Iron ore mining,Metals & Mining,China,,True,M,
1700,Technology,Lu Di,65,China,Shenzhen,Drones,Technology,China,,True,M,
1700,Technology,Palmer Luckey,30,United States,Newport Beach,Virtual reality,Technology,United States,Oculus VR,True,M,California
1700,Finance & Investments,Duncan MacMillan,85,United States,Princeton,Bloomberg LP,Finance & Investments,United States,,True,M,New Jersey
1700,Technology,Yusaku Maezawa,47,Japan,Chiba,Online retail,Technology,Japan,,True,M,
1700,Fashion & Retail,Ilson Mateus & family,60,Brazil,Sao Luis,Supermarkets,Fashion & Retail,Brazil,,True,M,
1700,Manufacturing,Meng Qingshan & family,74,China,Langfang,Chemicals,Manufacturing,China,,True,M,
1700,Fashion & Retail,Alberto Palatchi,73,Spain,Madrid,Wedding dresses,Fashion & Retail,Spain,,True,M,
1700,Manufacturing,Mrudula Parekh,75,India,Mumbai,Adhesives,Manufacturing,India,,False,F,
1700,Fashion & Retail,Dragos Paval,56,Romania,Bacau,Retail,Fashion & Retail,Romania,,True,M,
1700,Real Estate,Jorge Perez,73,United States,Miami,Real estate,Real Estate,United States,,True,M,Florida
1700,Metals & Mining,Dmitry Pumpyansky,59,Russia,Moscow,Steel pipes,Metals & Mining,Russia,,True,M,
1700,Healthcare,Jinsheng Ren & family,60,China,Nanjing,Pharmaceutical,Healthcare,China,,True,M,
1700,Media & Entertainment,Brian Roberts,63,United States,Philadelphia,Comcast,Media & Entertainment,United States,Comcast,False,M,Pennsylvania
1700,Food & Beverage,"Joe Rogers, Jr.",76,United States,Atlanta,Waffle House,Food & Beverage,United States,,False,M,Georgia
1700,Manufacturing,Ruan Shuilong & family,87,China,Shangyu,Chemicals,Manufacturing,China,,True,M,
1700,Real Estate,Paul Saville,67,United States,Palm Beach,Homebuilder,Real Estate,United States,,True,M,Florida
1700,Diversified,Ivan Savvidis & family,64,Russia,Rostov-on-Don,Agribusiness,Diversified,Russia,,True,M,
1700,Healthcare,Keiichi Shibahara,58,Japan,Tokyo,Healthcare,Healthcare,Japan,,True,M,
1700,Manufacturing,Rajju Shroff,89,India,Mumbai,Agrochemicals,Manufacturing,India,,True,M,
1700,Fashion & Retail,Sun Huaiqing & family,53,China,Guangzhou,Cosmetics,Fashion & Retail,China,,True,M,
1700,Real Estate,Alain Taravella,75,France,Paris,Real estate development,Real Estate,France,,True,M,
1700,Diversified,Jonathan Tisch,69,United States,New York,"Insurance, NFL team",Diversified,United States,,False,M,New York
1700,Service,Kenneth Tuchman,63,United States,Denver,Call centers,Service,United States,,True,M,Colorado
1700,Manufacturing,Wang Chou-hsiong,82,Taiwan,Yunlin,Footwear,Manufacturing,Taiwan,,True,M,
